Word,Subt_freq,Film_freq,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS,PoS_freqs,Verb_freq
barhopping,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
bartended,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
bayoneted,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
bindle,11,7,7,6,0.22,1.0792,0.08,0.9031,noun,5.0,0.45,noun.verb.name,5.3.3,3
blabs,4,4,3,3,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,3.0,0.75,verb.noun,3.1,3
blackballing,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
bloats,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,3.0,0.75,verb.noun,3.1,3
blubbing,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,3.0,1.0,verb,3,3
bodysurfing,6,4,5,3,0.12,0.8451,0.05,0.6990000000000001,verb,3.0,0.5,verb.noun.name.adjective,3.1.1.1,3
bollock,4,3,2,2,0.08,0.6990000000000001,0.04,0.6021,verb,3.0,0.75,verb.noun,3.1,3
breathalysed,3,1,1,1,0.06,0.6021,0.01,0.301,verb,3.0,1.0,verb,3,3
brownnose,7,6,6,6,0.14,0.9031,0.07,0.8451,noun,4.0,0.57,noun.verb,4.3,3
buntline,9,1,0,0,0.18,1.0,0.01,0.301,name,6.0,0.67,name.verb,6.3,3
burglarize,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
butling,4,2,4,2,0.08,0.6990000000000001,0.02,0.4771,verb,3.0,0.75,verb.noun,3.1,3
caddied,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
cadging,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
cannulate,3,3,2,2,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
canoodle,5,4,4,4,0.1,0.7782,0.05,0.6990000000000001,verb,3.0,0.6,verb.noun,3.2,3
catnapped,4,2,4,2,0.08,0.6990000000000001,0.02,0.4771,verb,3.0,0.75,verb.adjective,3.1,3
cauterised,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
chapping,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
chauffeuring,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
cheeping,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
chickies,10,9,10,9,0.2,1.0414,0.11,1.0,noun,7.0,0.7,noun.verb,7.3,3
chumped,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
chumping,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
clinks,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,3.0,0.75,verb.noun,3.1,3
clomping,4,4,3,3,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,3.0,0.75,verb.noun,3.1,3
clunks,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,3.0,0.75,verb.noun,3.1,3
cocktailing,3,2,2,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
conks,5,5,5,5,0.1,0.7782,0.06,0.7782,verb,3.0,0.6,verb.noun,3.2,3
convalesce,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
curdles,4,4,2,2,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,3.0,0.75,verb.name,3.1,3
debark,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
debone,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
debride,3,3,2,2,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
defibrillated,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
delouse,4,4,2,2,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,3.0,0.75,verb.noun,3.1,3
dematerialize,3,3,2,2,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
demoralizes,3,3,2,2,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
deputised,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
desensitise,3,1,3,1,0.06,0.6021,0.01,0.301,verb,3.0,1.0,verb,3,3
deviling,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
disarranged,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
disembowelling,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,verb,3.0,0.75,verb.adjective,3.1,3
dumbfound,3,2,2,1,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
dummied,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
dynamiting,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,verb,3.0,0.75,verb.noun,3.1,3
enflame,3,1,3,1,0.06,0.6021,0.01,0.301,verb,3.0,1.0,verb,3,3
entomb,5,4,5,4,0.1,0.7782,0.05,0.6990000000000001,verb,3.0,0.6,verb.noun,3.2,3
exsanguinated,4,4,4,4,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,3.0,0.75,verb.adjective,3.1,3
exteriorize,3,2,2,1,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
fantasised,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
fibbed,4,4,3,3,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,3.0,0.75,verb.name,3.1,3
finagled,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
finking,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
fishtailing,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
flatfooted,5,5,5,5,0.1,0.7782,0.06,0.7782,verb,3.0,0.6,verb.adjective,3.2,3
frenching,4,4,2,2,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,3.0,0.75,verb.noun,3.1,3
frizzing,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
gabbed,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
glamorizing,3,3,2,2,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
goldurn,3,2,2,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
goofer,5,3,3,2,0.1,0.7782,0.04,0.6021,verb,3.0,0.6,verb.noun,3.2,3
gratifies,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
grubstake,9,7,7,5,0.18,1.0,0.08,0.9031,noun,4.0,0.57,noun.verb,4.3,3
gypping,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
halfcocked,4,3,4,3,0.08,0.6990000000000001,0.04,0.6021,verb,3.0,0.75,verb.adjective,3.1,3
hallucinates,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
harpooning,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
helicoptered,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
hemorrhaged,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
hiccupped,3,3,3,3,0.06,0.6021,0.04,0.6021,verb,3.0,1.0,verb,3,3
hiccupping,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
hoovered,4,4,3,3,0.08,0.6990000000000001,0.05,0.6990000000000001,verb,3.0,0.75,verb.adjective,3.1,3
housebroke,5,4,5,4,0.1,0.7782,0.05,0.6990000000000001,verb,3.0,0.6,verb.noun,3.2,3
humouring,3,2,3,2,0.06,0.6021,0.02,0.4771,verb,3.0,1.0,verb,3,3
