Word,Subt_freq,Film_freq,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS,PoS_freqs,Noun_freq
thuggee,13,4,0,0,0.25,1.1461,0.05,0.6990000000000001,noun,11.0,0.85,noun.name,11.2,11
turtledoves,13,8,12,8,0.25,1.1461,0.1,0.9542,noun,11.0,0.85,noun.verb,11.2,11
whammo,11,9,7,7,0.22,1.0792,0.11,1.0,noun,11.0,1.0,noun,11,11
whiteys,6,5,6,5,0.12,0.8451,0.06,0.7782,noun,11.0,0.65,noun.name,11.6,11
acromegalia,10,1,6,1,0.2,1.0414,0.01,0.301,noun,10.0,1.0,noun,10,10
ahchoo,12,4,0,0,0.24,1.1139,0.05,0.6990000000000001,noun,10.0,0.83,noun.name,10.2,10
benchwarmer,10,4,7,4,0.2,1.0414,0.05,0.6990000000000001,noun,10.0,1.0,noun,10,10
bumpity,10,2,8,2,0.2,1.0414,0.02,0.4771,noun,10.0,1.0,noun,10,10
bunkmate,11,10,11,10,0.22,1.0792,0.12,1.0414,noun,10.0,0.91,noun.verb,10.1,10
butterballs,10,4,8,2,0.2,1.0414,0.05,0.6990000000000001,noun,10.0,1.0,noun,10,10
chucklehead,11,6,10,5,0.22,1.0792,0.07,0.8451,noun,10.0,0.91,noun.name,10.1,10
cruller,10,8,10,8,0.2,1.0414,0.1,0.9542,noun,10.0,1.0,noun,10,10
dopers,10,9,9,8,0.2,1.0414,0.11,1.0,noun,10.0,1.0,noun,10,10
falsies,11,11,9,9,0.22,1.0792,0.13,1.0792,noun,10.0,1.0,noun,10,10
fireplug,10,6,10,6,0.2,1.0414,0.07,0.8451,noun,10.0,1.0,noun,10,10
gamy,10,10,10,10,0.2,1.0414,0.12,1.0414,noun,10.0,1.0,noun,10,10
goonie,12,2,0,0,0.24,1.1139,0.02,0.4771,noun,10.0,0.83,noun.name,10.2,10
guardroom,10,6,10,6,0.2,1.0414,0.07,0.8451,noun,10.0,1.0,noun,10,10
guvnor,12,10,10,9,0.24,1.1139,0.12,1.0414,noun,10.0,0.83,noun.name,10.2,10
horseflesh,10,9,10,9,0.2,1.0414,0.11,1.0,noun,10.0,1.0,noun,10,10
laughers,10,10,10,10,0.2,1.0414,0.12,1.0414,noun,10.0,1.0,noun,10,10
libidos,10,9,10,9,0.2,1.0414,0.11,1.0,noun,10.0,1.0,noun,10,10
liverwurst,21,13,15,10,0.41,1.3424,0.15,1.1461,verb,10.0,0.48,verb.noun.name,10.10.1,10
lunger,11,6,10,6,0.22,1.0792,0.07,0.8451,noun,10.0,0.91,noun.name,10.1,10
monkeyshines,11,9,10,8,0.22,1.0792,0.11,1.0,noun,10.0,0.91,noun.verb,10.1,10
