Word,Subt_freq,Film_freq,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS,PoS_freqs,Adjective_freq
uncognizant,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
uncommunicable,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
uncompounded,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unconceited,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unconfused,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unconservative,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unconsummated,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
uncopyable,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
uncorruptible,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
uncowed,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
uncrated,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
uncrazy,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
uncrossable,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
uncrossing,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
uncrushable,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
uncrushed,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
uncurious,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
undampened,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
undatable,2,1,1,1,0.04,0.4771,0.01,0.301,name,1.0,0.5,name.adjective,1.1,1
undeeded,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
undemonstrative,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
undenied,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
underoccupied,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
underseal,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
undescending,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
undiagnosable,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
undilated,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
undiscussed,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
undividable,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
undivulged,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
undramatic,2,2,1,1,0.04,0.4771,0.02,0.4771,name,1.0,0.5,name.adjective,1.1,1
undraped,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
undriven,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
undropped,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
undrugged,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
uneatable,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
uneducable,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unendowed,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unengaged,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unenigmatical,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unenlightening,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unenthused,1,1,0,0,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unerotic,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unexpendable,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unfamous,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unfathomed,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unfilial,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unfillable,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unfindable,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unfittest,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unflattered,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unforged,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unfouled,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unfrazzled,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unfriended,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unfriendliest,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unfrocked,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unfueled,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unfulfillable,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
ungagged,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
ungetable,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
ungroomed,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unhailed,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unhanded,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unhandsome,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unharnessed,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unhatched,1,1,0,0,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unhonoured,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unifocal,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unimprinted,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unintimidated,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unjammed,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unjudged,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unkilled,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
unlamented,1,1,1,1,0.02,0.301,0.01,0.301,adjective,1.0,1.0,adjective,1,1
