Word,Subt_freq,Film_freq,All_PoS,PoS_freqs,Noun_freq,Web_freq
everyplace,19,18,noun.verb,11.8,11,191792.0
cheerios,17,15,noun.name,11.5,11,190214.0
chronometer,11,6,noun,11,11,188720.0
interrogator,17,11,noun.name,11.6,11,186622.0
sombrero,14,14,noun.name,11.3,11,186622.0
templars,11,4,noun,11,11,184012.0
wranglers,11,8,noun,11,11,183980.0
fortresses,11,9,noun,11,11,183109.0
haitians,11,8,noun,11,11,180107.0
feedings,11,10,noun,11,11,178913.0
urchins,11,9,noun,11,11,178416.0
ileum,11,7,noun,11,11,178356.0
earthworms,11,6,noun,11,11,177793.0
stranglehold,13,12,noun.verb,11.1,11,176973.0
sectionals,12,5,noun.name,11.1,11,176067.0
infirmity,11,9,noun,11,11,173799.0
merriment,12,11,noun,11,11,173265.0
damsels,11,11,noun,11,11,172302.0
ghettos,11,6,noun,11,11,172198.0
hums,112,71,verb.noun,101.11,11,170471.0
gaffer,17,14,noun.name.verb,11.3.2,11,170229.0
immaturity,11,11,noun,11,11,170181.0
moisturiser,12,7,noun,11,11,169607.0
unicycle,11,8,noun,11,11,169446.0
tweet,43,15,verb.noun.name,29.11.3,11,168757.0
bish,17,5,noun.verb,11.6,11,168667.0
inhumanity,11,11,noun,11,11,167072.0
pasts,11,10,noun,11,11,166896.0
obscenities,11,11,noun,11,11,165026.0
personage,11,11,noun,11,11,164158.0
shill,14,11,noun.verb,11.3,11,163716.0
tali,12,11,noun.verb,11.1,11,162490.0
hipsters,11,7,noun,11,11,161498.0
afoul,11,10,noun,11,11,159727.0
pasties,11,11,noun,11,11,158919.0
changeling,11,6,noun,11,11,158134.0
breastplate,12,9,noun.verb,11.1,11,154648.0
typhoons,11,7,noun,11,11,153714.0
athleticism,11,9,noun,11,11,150805.0
baronet,11,5,noun,11,11,149150.0
furlongs,11,8,noun,11,11,148520.0
frowns,18,17,noun.verb,11.7,11,148086.0
instigator,11,10,noun,11,11,146537.0
derailment,11,10,noun,11,11,146331.0
bedfellows,12,10,noun.name,11.1,11,145420.0
colas,11,6,noun,11,11,145079.0
gazpacho,11,9,noun,11,11,143633.0
hopscotch,15,13,noun.verb,11.4,11,142146.0
sooth,11,7,noun,11,11,141125.0
sashes,11,7,noun,11,11,140135.0
sambo,20,13,noun.name,11.9,11,137842.0
clinker,11,7,noun,11,11,137026.0
wildness,12,9,noun,11,11,136385.0
