Word,Subt_freq,Film_freq,All_PoS,PoS_freqs,Verb_freq,Web_freq
foisting,4,4,verb,4,4,22513.0
flunks,5,5,verb,4,4,22450.0
snuffs,5,5,verb.noun,4.1,4,22137.0
videoed,4,4,verb,4,4,22045.0
outvoted,4,4,verb,4,4,21997.0
outmatched,4,4,verb,4,4,21929.0
fluffing,4,4,verb,4,4,21777.0
improvises,4,3,verb,4,4,21752.0
reanimate,4,4,verb,4,4,21603.0
ennoble,4,4,verb,4,4,21592.0
reemerge,4,4,verb,4,4,21361.0
forswear,4,4,verb,4,4,21344.0
unseal,4,4,verb,4,4,21242.0
trundling,4,4,verb,4,4,21177.0
outmaneuver,4,4,verb,4,4,21143.0
exhuming,5,5,verb.adjective,4.1,4,21107.0
splurging,4,4,verb,4,4,21025.0
rewarming,4,3,verb,4,4,20960.0
scuppers,4,3,verb,4,4,20951.0
jazzing,4,4,verb,4,4,20700.0
slimed,6,5,verb.adjective,4.2,4,20684.0
mimed,5,4,verb.adjective,4.1,4,20111.0
hoofbeats,11,9,noun.verb,7.4,4,20043.0
idolizes,4,4,verb,4,4,19906.0
skywriting,7,5,verb.noun.adjective,4.2.1,4,19811.0
lisping,9,8,verb.name.adjective.noun,4.2.2.1,4,19627.0
futzing,5,4,verb.name,4.1,4,19512.0
displeases,4,4,verb,4,4,19405.0
lazybones,8,8,verb.noun,4.4,4,19253.0
avaunt,4,4,verb,4,4,19173.0
disbeliever,4,3,verb,4,4,19117.0
manhandling,8,8,verb.noun,4.4,4,19049.0
clenches,5,3,verb.noun,4.1,4,19013.0
romanticizing,4,4,verb,4,4,18701.0
wheedle,5,5,verb.noun,4.1,4,18566.0
outliving,4,3,verb,4,4,18535.0
garrote,10,8,noun.verb,6.4,4,17947.0
squirreled,4,4,verb,4,4,17930.0
haggled,4,4,verb,4,4,17927.0
embalm,4,4,verb,4,4,17924.0
tarted,4,4,verb,4,4,17909.0
fertilizes,4,4,verb,4,4,17774.0
junking,4,4,verb,4,4,17190.0
dozes,4,4,verb,4,4,17178.0
finessing,5,3,verb.noun,4.1,4,17124.0
ginned,4,4,verb,4,4,17072.0
battened,4,4,verb,4,4,17068.0
riddling,5,4,verb.noun,4.1,4,16963.0
sodomize,4,4,verb,4,4,16918.0
magnetised,5,5,verb.adjective,4.1,4,16910.0
bides,4,4,verb,4,4,16845.0
champing,4,4,verb,4,4,16817.0
waddles,4,3,verb,4,4,16740.0
heavyset,10,10,noun.verb,6.4,4,16676.0
excretes,4,4,verb,4,4,16380.0
shirttail,15,9,noun.verb,11.4,4,16203.0
outmaneuvered,4,4,verb,4,4,16147.0
sodomizing,4,3,verb,4,4,16080.0
outranked,4,4,verb,4,4,15800.0
procreating,5,5,verb.noun,4.1,4,15740.0
eviscerating,5,4,verb.adjective,4.1,4,15639.0
immobilise,4,4,verb,4,4,15258.0
aflutter,4,3,verb,4,4,15146.0
bethink,4,3,verb,4,4,15003.0
jittering,4,4,verb,4,4,14990.0
spoilsport,10,10,noun.verb,6.4,4,14733.0
steamroll,4,4,verb,4,4,14405.0
immolate,4,4,verb,4,4,14006.0
bunged,4,4,verb,4,4,13707.0
untrusting,6,6,verb.noun.adjective,4.1.1,4,13641.0
bivouacked,5,5,verb.adjective,4.1,4,13521.0
nonbeliever,4,4,verb,4,4,13326.0
eulogize,4,4,verb,4,4,13239.0
tattling,5,5,verb.noun,4.1,4,13206.0
loudmouthed,11,11,adjective.verb,7.4,4,13154.0
cantare,4,2,verb,4,4,12887.0
counterattacked,4,3,verb,4,4,12856.0
bartend,4,4,verb,4,4,12796.0
concussed,7,4,verb.adjective,4.3,4,12732.0
image,1154,818,noun.verb,1153.3,3,197874283.0
conditions,647,498,noun.verb,644.3,3,168957006.0
paper,5271,2626,noun.verb.name,5266.3.3,3,134939426.0
girls,10626,3635,noun.verb.name,10629.3.2,3,132325396.0
downloads,10,10,noun.verb,7.3,3,100237452.0
amount,1262,1012,noun.verb,1258.3,3,92039679.0
cases,1436,969,noun.verb,1432.3,3,86255673.0
tool,548,369,noun.verb.name,543.3.2,3,65009731.0
purpose,1789,1325,noun.verb,1783.3,3,64314952.0
brown,3066,1290,name.adjective.noun.verb,1890.1144.23.3,3,64112042.0
wedding,5173,1654,noun.verb.name,5169.3.2,3,60758332.0
traffic,1454,992,noun.verb.name,1447.3.1,3,57241247.0
programme,235,137,noun.verb,232.3,3,57212448.0
vacation,1673,979,noun.verb,1672.3,3,54946412.0
papers,2638,1469,noun.verb,2633.3,3,51024682.0
firm,1799,966,noun.adjective.verb,1434.363.3,3,44244364.0
factors,110,99,noun.verb,107.3,3,42106512.0
reasons,1655,1263,noun.verb,1653.3,3,36685859.0
oregon,211,117,name.verb,208.3,3,36353838.0
williams,856,321,name.noun.verb,845.8.3,3,35123723.0
aids,54,41,noun.verb,52.3,3,33155753.0
savings,384,305,noun.verb.name,378.3.3,3,32817684.0
queen,2789,1188,noun.name.verb,2735.47.3,3,32366847.0
frank,8129,1303,name.adjective.verb.noun,7744.361.3.2,3,31392284.0
jazz,608,305,noun.name.verb,593.11.3,3,29920842.0
collectibles,22,20,noun.name.verb,14.5.3,3,29127157.0
ladies,7054,3101,noun.verb,7028.3,3,28781917.0
dogs,2704,1282,noun.verb.name,2698.3.1,3,28400362.0
stations,645,375,noun.verb,640.3,3,25600569.0
channels,280,239,noun.verb,278.3,3,23426176.0
legs,2835,1843,noun.verb.name,2827.3.1,3,22424518.0
packaging,43,38,noun.verb,40.3,3,20427866.0
labels,99,87,noun.verb,96.3,3,18427423.0
bills,1096,754,noun.verb.name,1090.3.2,3,18248816.0
jay,821,169,name.noun.verb,806.10.3,3,17285391.0
ken,854,219,name.noun.verb,824.21.3,3,16418119.0
masters,386,231,noun.name.verb,357.28.3,3,15434147.0
walls,1261,888,noun.name.verb,1232.27.3,3,14837851.0
arthur,1687,337,name.verb.noun,1679.3.2,3,14825384.0
pioneer,106,73,noun.verb,101.3,3,14225288.0
acrobat,30,21,noun.verb.name,25.3.2,3,14213883.0
bread,1445,902,noun.verb,1441.3,3,13575360.0
motors,148,82,noun.name.verb,141.4.3,3,13563719.0
grass,856,550,noun.verb,852.3,3,12868953.0
stages,147,133,noun.verb,144.3,3,12632816.0
guns,3092,1308,noun.verb.name,3087.3.1,3,12383666.0
fisting,3,3,verb,3,3,11927246.0
occasion,844,692,noun.verb,838.3,3,11854911.0
ge,47,22,name.noun.verb,37.4.3,3,11678554.0
messaging,9,9,noun.verb,6.3,3,11623632.0
founder,108,90,noun.verb,105.3,3,11180601.0
perfume,583,391,noun.verb.name,576.3.3,3,11109790.0
screens,93,80,noun.verb,90.3,3,10799678.0
counters,42,37,noun.verb,40.3,3,10706242.0
analyses,7,7,noun.verb,4.3,3,9976066.0
mat,178,139,noun.verb,174.3,3,9937738.0
alt,12,10,name.verb.noun,5.3.2,3,9681244.0
rabbit,1068,447,noun.name.verb,1052.15.3,3,9208689.0
tanks,506,252,noun.verb,504.3,3,8526525.0
stunning,209,183,adjective.verb,206.3,3,8436751.0
brick,519,255,noun.name.verb,494.22.3,3,8094369.0
ide,8,8,noun.verb,6.3,3,8047346.0
capitol,122,76,name.noun.verb,74.45.3,3,7917607.0
dishes,605,443,noun.verb,602.3,3,7917224.0
prizes,143,114,noun.verb,140.3,3,7632888.0
rocket,604,288,noun.verb,601.3,3,7447070.0
airfare,12,11,noun.verb.name,8.3.1,3,7179198.0
queens,496,273,name.noun.verb,292.201.3,3,6857915.0
shadows,583,357,noun.verb,580.3,3,6834963.0
jaguar,121,63,noun.verb,118.3,3,6687890.0
wang,376,78,name.noun.verb,353.18.3,3,6682155.0
jar,424,297,noun.verb,421.3,3,6549211.0
tent,892,445,noun.verb,887.3,3,6542394.0
slope,150,120,noun.verb,147.3,3,6469975.0
inf,4,4,verb.noun,3.1,3,6171461.0
radios,105,95,noun.verb,102.3,3,5858974.0
reprint,7,6,noun.verb,4.3,3,5827192.0
holocaust,100,74,name.noun.verb,56.41.3,3,5719888.0
belts,254,195,noun.verb,251.3,3,5651790.0
pix,7,5,verb.noun.name,3.2.2,3,5645638.0
nested,3,3,verb,3,3,5265588.0
ob,69,39,noun.unclassified.verb.name,39.19.3.3,3,5095292.0
pike,234,79,noun.name.verb,182.49.3,3,5085622.0
implements,15,15,noun.verb,12.3,3,4912193.0
sears,135,82,name.verb,132.3,3,4897480.0
shoulders,600,494,noun.verb,597.3,3,4793494.0
hunks,18,14,noun.verb,14.3,3,4776866.0
waterfront,53,39,noun.name.verb,44.5.3,3,4693479.0
biotech,16,13,noun.verb.name,11.3.2,3,4691289.0
lansing,43,20,name.verb.noun,39.3.1,3,4677332.0
slaves,414,206,noun.verb,414.3,3,4638584.0
reebok,24,6,noun.name.verb,13.8.3,3,4581373.0
couch,1197,792,noun.name.verb,1184.5.3,3,4581367.0
scripture,69,56,noun.verb,66.3,3,4571524.0
coupling,26,23,noun.verb,23.3,3,4252397.0
mugs,121,93,noun.verb,118.3,3,4098204.0
standardized,40,21,adjective.verb,37.3,3,4076813.0
bounds,115,94,noun.verb,113.3,3,4073402.0
handset,13,10,noun.verb,10.3,3,4032942.0
curry,124,71,noun.name.verb,96.25.3,3,4029540.0
peaks,81,56,noun.verb,78.3,3,4011396.0
lumber,126,83,noun.verb,123.3,3,3970464.0
stove,387,282,noun.verb,384.3,3,3914849.0
beavers,39,31,noun.verb.name,34.3.1,3,3848670.0
ars,7,6,verb.name,3.3,3,3818073.0
regiment,247,111,noun.verb,244.3,3,3649264.0
storms,110,87,noun.verb,108.3,3,3613499.0
rebounds,14,12,noun.verb,11.3,3,3263664.0
kung,268,116,noun.name.adjective.verb,222.35.8.3,3,3224761.0
flavors,66,42,noun.name.verb,48.15.3,3,3121207.0
correlated,3,2,verb,3,3,3106557.0
summers,134,112,noun.name.verb,89.46.3,3,3080503.0
annotate,3,2,verb,3,3,2923120.0
rams,42,23,noun.verb.name,36.3.1,3,2884604.0
mates,243,174,noun.verb,239.3,3,2878121.0
cultured,49,45,adjective.verb,45.3,3,2862362.0
summarized,3,3,verb,3,3,2813586.0
authored,3,3,verb,3,3,2787390.0
exported,3,3,verb,3,3,2777294.0
rib,301,214,noun.verb,298.3,3,2741585.0
maroon,61,25,adjective.noun.verb.name,44.11.3.3,3,2740904.0
sleek,43,40,adjective.verb,40.3,3,2734565.0
integrates,3,3,verb,3,3,2706006.0
rivals,62,56,noun.verb,59.3,3,2683343.0
ritz,134,79,name.verb.noun,129.3.2,3,2660002.0
playoff,31,20,noun.verb,27.3,3,2657613.0
kayaking,4,4,verb.noun,3.1,3,2639983.0
diversified,3,3,verb,3,3,2598662.0
chap,324,228,noun.verb,322.3,3,2557160.0
redistributed,3,3,verb,3,3,2435259.0
newsweek,50,40,name.noun.verb,37.10.3,3,2434397.0
coup,133,106,noun.verb,135.3,3,2382274.0
rag,244,184,noun.verb,242.3,3,2379816.0
onyx,17,11,noun.verb.name,12.3.2,3,2315135.0
orgasms,74,54,noun.verb,71.3,3,2254938.0
numbering,3,3,verb,3,3,2233841.0
skis,69,52,noun.verb,66.3,3,2164527.0
refills,33,29,noun.verb,30.3,3,2141889.0
duel,120,67,noun.verb,117.3,3,2136368.0
provost,36,16,noun.verb.name,31.3.1,3,2131303.0
horticulture,12,10,noun.verb,9.3,3,2128038.0
petit,50,30,unclassified.noun.verb,27.19.3,3,2120813.0
gaze,129,103,noun.verb,126.3,3,2119763.0
bottoms,183,148,noun.verb,180.3,3,2086781.0
dissent,30,25,noun.verb,27.3,3,2068302.0
checkpoint,95,58,noun.name.verb,73.19.3,3,2040010.0
plat,4,3,noun.verb,23.3,3,1972329.0
nom,17,12,noun.verb,14.3,3,1931008.0
flavour,61,56,noun.verb,58.3,3,1904853.0
scrolling,3,3,verb,3,3,1899335.0
crusade,194,151,noun.verb,191.3,3,1876773.0
commissioning,4,4,verb.noun,3.1,3,1864475.0
remortgage,3,2,verb,3,3,1832346.0
sacks,108,70,noun.name.verb,85.20.3,3,1808394.0
wen,183,25,name.verb.noun,178.3.2,3,1787310.0
outpost,67,50,noun.verb,64.3,3,1774045.0
greyhound,46,44,noun.name.verb,35.8.3,3,1760066.0
wards,52,41,noun.verb.name,47.3.2,3,1759766.0
crooked,290,245,adjective.verb,286.3,3,1743363.0
gangs,221,136,noun.verb,222.3,3,1743105.0
