Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Preposition_freq
ahead,10115,4726,10049,4716,198.33,4.005,56.34,3.6746,Adverb,9061.0,0.9,Adverb.Preposition,9061.1041,1041
other,37505,7738,36688,7709,735.39,4.5741,92.25,3.8887,Adjective,27916.0,0.75,Adjective.Pronoun.Preposition.Noun.Name,27916.8231.840.473.1,840
besides,4328,2891,1162,1021,84.86,3.6364,34.47,3.4612,Adverb,3503.0,0.81,Adverb.Preposition,3503.827,827
per,1141,795,1049,762,22.37,3.0577,9.48,2.9009,Preposition,813.0,0.74,Preposition.Noun.Adverb.Adjective,813.171.112.6,813
beside,774,611,718,570,15.18,2.8893,7.28,2.7868,Preposition,763.0,0.98,Preposition.Adverb,763.17,763
charge,4559,2675,4201,2554,89.39,3.659,31.89,3.4275,Noun,2726.0,0.6,Noun.Verb.Preposition,2726.1087.742,742
well,152523,8146,31974,7283,2990.65,5.1833,97.11,3.911,Adverb,149100.0,0.98,Adverb.Adjective.Noun.Preposition.Name.Verb,149100.1674.1004.689.21.4,689
despite,663,554,410,374,13.0,2.8222,6.6,2.7443,Preposition,662.0,1.0,Preposition,662,662
touch,7534,4000,7145,3913,147.73,3.8771,47.69,3.6022,Verb,5157.0,0.68,Verb.Noun.Preposition,5157.1778.658,658
due,2275,1712,2103,1615,44.61,3.3572,20.41,3.2338,Adjective,1624.0,0.71,Adjective.Preposition.Adverb.Noun,1624.635.16.1,635
round,3393,1895,3006,1765,66.53,3.5307,22.59,3.2778,Adjective,1011.0,0.3,Adjective.Adverb.Noun.Preposition.Verb.Name,1011.816.676.594.287.2,594
such,14852,5626,13715,5477,291.22,4.1718,67.07,3.7503,Determiner,14228.0,0.96,Determiner.Preposition.Conjunction,14228.593.23,593
beneath,593,465,518,417,11.63,2.7738,5.54,2.6684,Preposition,567.0,0.96,Preposition.Adverb,567.25,567
below,1430,986,1379,964,28.04,3.1556,11.75,2.9943,Adverb,868.0,0.61,Adverb.Preposition,868.562,562
throughout,548,465,488,423,10.75,2.7396,5.54,2.6684,Preposition,526.0,0.96,Preposition.Adverb,526.22,526
underneath,829,692,726,623,16.25,2.9191,8.25,2.8407,Preposition,518.0,0.62,Preposition.Adverb.Noun,518.302.9,518
thanks,31789,7149,7764,4235,623.31,4.5023,85.23,3.8543,Noun,31251.0,0.98,Noun.Preposition.Verb.Name,31251.414.44.38,414
versus,411,325,393,314,8.06,2.6149,3.87,2.5132,Preposition,411.0,1.0,Preposition,411,411
behalf,620,536,619,535,12.16,2.7931,6.39,2.73,Preposition,394.0,0.63,Preposition.Noun,394.228,394
