Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Adverb_freq
safer,580,511,553,493,11.37,2.7642,6.09,2.7093,Adjective,302.0,0.52,Adjective.Adverb,302.275,275
regardless,262,236,172,162,5.14,2.42,2.81,2.3747,Adverb,263.0,1.0,Adverb,263,263
supposedly,262,235,185,172,5.14,2.42,2.8,2.3729,Adverb,262.0,1.0,Adverb,262,262
secretly,260,237,252,232,5.1,2.4166,2.83,2.3766,Adverb,260.0,1.0,Adverb,260,260
underground,613,406,531,369,12.02,2.7882,4.84,2.6096,Adjective,288.0,0.47,Adjective.Adverb.Noun,288.260.65,260
et,647,377,477,280,12.69,2.8116,4.49,2.5775,Name,319.0,0.5,Name.Adverb.Unclassified,319.259.66,259
overboard,259,190,249,185,5.08,2.415,2.27,2.281,Adverb,258.0,1.0,Adverb,258,258
purely,258,230,237,215,5.06,2.4133,2.74,2.3636,Adverb,258.0,1.0,Adverb,258,258
gladly,257,223,168,148,5.04,2.4116,2.66,2.3502,Adverb,257.0,1.0,Adverb,257,257
mainly,256,220,200,174,5.02,2.4099,2.62,2.3444,Adverb,257.0,1.0,Adverb,257,257
online,342,241,322,229,6.71,2.5353,2.87,2.3838,Adverb,252.0,0.74,Adverb.Adjective,252.88,252
abroad,250,203,248,201,4.9,2.3997,2.42,2.3096,Adverb,250.0,1.0,Adverb,250,250
sincerely,249,212,179,152,4.88,2.3979,2.53,2.3284,Adverb,250.0,1.0,Adverb,250,250
utterly,249,217,228,200,4.88,2.3979,2.59,2.3385,Adverb,249.0,1.0,Adverb,249,249
dearly,249,209,152,141,4.88,2.3979,2.49,2.3222,Adverb,248.0,1.0,Adverb,248,248
hence,247,184,119,74,4.84,2.3945,2.19,2.2672,Adverb,247.0,1.0,Adverb,247,247
cetera,249,125,247,124,4.88,2.3979,1.49,2.1004,Adverb,246.0,0.99,Adverb.Noun.Name,246.1.1,246
permanently,245,217,213,193,4.8,2.3909,2.59,2.3385,Adverb,245.0,1.0,Adverb,245,245
thoroughly,243,218,226,207,4.76,2.3874,2.6,2.3404,Adverb,243.0,1.0,Adverb,243,243
sadly,240,221,130,123,4.71,2.382,2.63,2.3464,Adverb,240.0,1.0,Adverb,240,240
softly,241,169,201,139,4.73,2.3838,2.01,2.2304,Adverb,240.0,1.0,Adverb,240,240
full,8512,4326,7840,4186,166.9,3.9301,51.57,3.6362,Adjective,8271.0,0.97,Adjective.Adverb,8271.237,237
shelly,419,65,1,1,8.22,2.6232,0.77,1.8195,Adverb,236.0,0.57,Adverb.Name.Adjective,236.178.3,236
lightly,235,212,225,204,4.61,2.3729,2.53,2.3284,Adverb,235.0,1.0,Adverb,235,235
temporarily,232,207,203,185,4.55,2.3674,2.47,2.3181,Adverb,232.0,1.0,Adverb,232,232
instantly,232,211,224,205,4.55,2.3674,2.52,2.3263,Adverb,231.0,1.0,Adverb,231,231
left,24707,7001,23534,6957,484.45,4.3928,83.46,3.8452,Verb,18826.0,0.76,Verb.Adjective.Adverb.Noun.Name,18826.5400.229.223.2,229
en,485,364,390,307,9.51,2.6866,4.34,2.5623,Adverb,228.0,0.51,Adverb.Unclassified.Adjective,228.216.1,228
strangely,228,205,181,167,4.47,2.3598,2.44,2.3139,Adverb,227.0,1.0,Adverb,227,227
beyond,2200,1496,1982,1407,43.14,3.3426,17.84,3.1752,Preposition,1951.0,0.89,Preposition.Adverb.Noun,1951.223.23,223
plenty,3178,2181,2704,1961,62.31,3.5023,26.0,3.3389,Pronoun,2782.0,0.88,Pronoun.Adverb.Noun,2782.222.169,222
quicker,366,314,339,298,7.18,2.5647,3.74,2.4983,Adverb,220.0,0.6,Adverb.Adjective,220.145,220
likely,1314,1041,1266,1014,25.76,3.1189,12.41,3.0179,Adjective,1094.0,0.83,Adjective.Adverb,1094.218,218
greatly,217,193,212,191,4.25,2.3385,2.3,2.2878,Adverb,216.0,1.0,Adverb,216,216
freely,215,185,209,180,4.22,2.3345,2.21,2.2695,Adverb,215.0,1.0,Adverb,215,215
route,1089,751,901,651,21.35,3.0374,8.95,2.8762,Noun,873.0,0.8,Noun.Adverb,873.214,214
slow,3877,2389,2890,1988,76.02,3.5886,28.48,3.3784,Adjective,1962.0,0.51,Adjective.Verb.Adverb,1962.1695.214,214
automatically,213,196,211,194,4.18,2.3304,2.34,2.2945,Adverb,213.0,1.0,Adverb,213,213
part,13337,5604,12790,5508,261.51,4.1251,66.81,3.7486,Noun,12942.0,0.97,Noun.Adverb.Verb.Preposition.Name,12942.209.125.49.2,209
virtually,209,193,194,179,4.1,2.3222,2.3,2.2878,Adverb,209.0,1.0,Adverb,209,209
within,3017,1983,2740,1873,59.16,3.4797,23.64,3.2975,Preposition,2813.0,0.93,Preposition.Adverb,2813.203,203
apiece,202,169,196,165,3.96,2.3075,2.01,2.2304,Adverb,202.0,1.0,Adverb,202,202
backstage,261,181,243,174,5.12,2.4183,2.16,2.2601,Adverb,201.0,0.77,Adverb.Adjective,201.60,201
bad,27804,7214,26037,7122,545.18,4.4441,86.0,3.8582,Adjective,27563.0,0.99,Adjective.Adverb.Noun,27563.201.4,201
low,3016,2041,2789,1931,59.14,3.4796,24.33,3.3101,Adjective,2700.0,0.9,Adjective.Adverb.Noun.Name.Verb,2700.201.51.49.5,201
underwater,323,214,295,203,6.33,2.5105,2.55,2.3324,Adverb,200.0,0.63,Adverb.Adjective,200.119,200
