Word,Subt_freq,Film_freq,All_PoS,PoS_freqs,Adjective_freq,Web_freq
capitalist,78,61,adjective.noun,41.37,41,2351271.0
gastric,42,29,adjective.name,41.1,41,2095401.0
melted,201,177,verb.adjective.name,158.41.2,41,1896489.0
tranquil,42,38,adjective,41,41,1231687.0
weeping,162,134,verb.noun.adjective,66.54.41,41,1175714.0
bureaucratic,41,37,adjective,41,41,1157025.0
mundane,41,38,adjective,41,41,1127622.0
charismatic,41,38,adjective,41,41,967779.0
irreversible,41,37,adjective,41,41,943282.0
punishable,42,40,adjective.name,41.1,41,888057.0
heathen,81,63,adjective.noun,41.40,41,674664.0
appreciative,41,41,adjective,41,41,659787.0
hazy,41,39,adjective,41,41,589765.0
aryan,47,29,adjective.noun,41.6,41,584547.0
comical,42,37,adjective.name,41.1,41,572946.0
overpriced,43,42,adjective.verb,41.2,41,554501.0
antisocial,41,36,adjective,41,41,543419.0
idealistic,41,38,adjective,41,41,513900.0
wanton,42,41,adjective.name,41.1,41,506943.0
inconclusive,42,37,adjective,41,41,430678.0
impure,41,28,adjective,41,41,405021.0
mutilated,65,53,adjective.verb,41.24,41,355209.0
fittest,41,39,adjective,41,41,311689.0
godless,42,33,adjective.name,41.1,41,295551.0
superhuman,41,39,adjective,41,41,250004.0
monogamous,42,32,adjective,41,41,195824.0
flabby,41,35,adjective,41,41,154911.0
impertinent,55,43,adjective.noun.name,41.12.2,41,84958.0
lovelier,42,40,adjective,41,41,50967.0
established,415,373,verb.adjective,376.40,40,50818165.0
informed,633,532,verb.adjective,594.40,40,38207430.0
telling,9730,4837,verb.noun.adjective,9506.178.40,40,14160780.0
technological,40,37,adjective,40,40,9404975.0
mega,40,29,adjective,40,40,9345031.0
welsh,60,47,adjective.verb.noun.name,40.12.4.4,40,7346867.0
beneficial,40,36,adjective,40,40,7174133.0
responsive,40,35,adjective,40,40,4330902.0
uncut,40,30,adjective,40,40,3929056.0
metabolic,40,30,adjective,40,40,3320296.0
knowledgeable,40,36,adjective,40,40,3203632.0
sleek,43,40,adjective.verb,40.3,40,2734565.0
rustic,40,31,adjective,40,40,2455629.0
slack,302,257,noun.adjective.verb.name,250.40.11.1,40,1954286.0
articulate,85,73,verb.adjective,46.40,40,1767860.0
silky,40,32,adjective,40,40,1749406.0
advisable,40,37,adjective,40,40,1440101.0
crawling,462,389,verb.adjective,418.40,40,1306643.0
troubling,119,110,verb.adjective,79.40,40,1033591.0
lofty,40,34,adjective,40,40,1018661.0
glib,41,38,adjective,40,40,940763.0
intrigued,90,86,verb.adjective,50.40,40,925976.0
whimsical,40,33,adjective,40,40,915719.0
commonplace,40,35,adjective,40,40,899385.0
sluggish,40,35,adjective,40,40,805640.0
diligent,40,25,adjective,40,40,769726.0
skillful,40,30,adjective,40,40,626936.0
warmest,42,31,adjective.name,40.2,40,609811.0
paternal,41,38,adjective,40,40,599628.0
southbound,40,30,adjective,40,40,593606.0
jaded,40,32,adjective,40,40,576218.0
impromptu,43,38,adjective.noun,40.3,40,553624.0
grievous,53,32,adjective.name,40.13,40,478173.0
eastbound,40,30,adjective,40,40,445597.0
hospitable,42,39,adjective.name,40.1,40,422161.0
fallow,41,10,adjective,40,40,411349.0
derelict,40,33,adjective,40,40,407289.0
ruptured,95,84,verb.adjective,53.40,40,368775.0
confounded,54,41,adjective.verb,40.13,40,339653.0
trite,40,35,adjective,40,40,287494.0
dirtiest,40,37,adjective,40,40,206405.0
bloodthirsty,49,47,adjective.noun.name,40.8.1,40,200425.0
conjugal,40,28,adjective,40,40,171770.0
contemptible,40,39,adjective,40,40,147876.0
temperamental,41,38,adjective.name,40.1,40,142966.0
madder,44,41,adjective.noun,40.4,40,139288.0
certifiable,40,35,adjective,40,40,135627.0
catatonic,40,37,adjective,40,40,87943.0
hooky,43,37,adjective.name,40.3,40,81957.0
in,498444,8372,preposition.adverb.conjunction.noun.verb.adjective,443510.50997.3154.67.49.39,39,8469404971.0
over,67488,8171,adverb.preposition.noun.adjective.name,46641.20492.249.39.1,39,459222855.0
selected,249,210,verb.adjective,206.39,39,58668257.0
fiscal,39,37,adjective,39,39,23506040.0
diverse,39,37,adjective,39,39,13432331.0
promotional,39,38,adjective,39,39,13084826.0
repeated,143,132,verb.adjective,104.39,39,10015447.0
folding,106,93,verb.adjective.noun,50.39.15,39,7182520.0
coded,76,58,adjective.verb,39.37,39,4330278.0
blown,811,677,verb.adjective,772.39,39,4229918.0
fashioned,71,57,adjective.verb,39.32,39,3776151.0
unlawful,39,37,adjective,39,39,3503931.0
reactive,39,35,adjective,39,39,3147821.0
siberian,39,31,adjective,39,39,1928755.0
latent,39,37,adjective,39,39,1855269.0
pristine,39,35,adjective,39,39,1707017.0
thriving,62,50,adjective.verb,39.23,39,1581303.0
luminous,39,35,adjective,39,39,1521841.0
psychedelic,40,31,adjective.noun,39.1,39,1479060.0
unbeatable,40,39,adjective.name,39.1,39,1432468.0
uneven,39,34,adjective,39,39,1399055.0
immaculate,40,36,adjective,39,39,1219765.0
oppressed,65,58,adjective.verb,39.26,39,1104591.0
innate,39,35,adjective,39,39,1052902.0
barbarian,92,52,noun.adjective,52.39,39,1008628.0
cranial,39,39,adjective,39,39,717207.0
perilous,40,36,adjective.name,39.1,39,521498.0
undersea,40,19,adjective.noun,39.1,39,481909.0
brooding,49,45,adjective.verb,39.10,39,448552.0
intergalactic,39,22,adjective,39,39,343716.0
sabian,58,3,adjective.noun.name,39.15.4,39,336537.0
gooey,39,35,adjective,39,39,335656.0
chucky,146,28,name.adjective,107.39,39,334037.0
epileptic,61,32,adjective.noun,39.21,39,325674.0
fearsome,39,33,adjective,39,39,316712.0
uneventful,40,37,adjective.name,39.1,39,308868.0
sickly,39,37,adjective,39,39,286991.0
repugnant,39,33,adjective,39,39,279935.0
patronizing,56,54,adjective.verb,39.17,39,185959.0
preppy,39,26,adjective,39,39,166548.0
uncalled,39,37,adjective,39,39,121252.0
incorrigible,39,33,adjective,39,39,90520.0
polack,41,20,adjective.verb.noun,39.1.1,39,26808.0
premium,88,71,noun.adjective,50.38,38,38793313.0
appointed,270,232,verb.adjective,232.38,38,17314729.0
payable,38,28,adjective,38,38,10948988.0
baptist,118,75,noun.adjective.name,55.38.25,38,8600706.0
dressed,2394,1708,verb.adjective,2350.38,38,6178034.0
nominal,38,26,adjective,38,38,4957994.0
nightly,70,65,adjective.adverb,38.32,38,4115392.0
stark,331,91,name.adjective.adverb,268.38.22,38,3479265.0
standby,151,121,noun.adjective,113.38,38,2963191.0
biochemical,38,27,adjective,38,38,2493892.0
gradual,38,32,adjective,38,38,2166399.0
indispensable,38,36,adjective,38,38,1820574.0
doomed,415,315,verb.adjective,376.38,38,1690352.0
slender,38,36,adjective,38,38,1614730.0
khaki,42,38,adjective.noun,38.4,38,1481504.0
philharmonic,38,31,adjective,38,38,1477989.0
kindred,45,35,adjective.noun,38.7,38,1458000.0
feline,46,34,adjective.noun.name,38.5.1,38,1337137.0
wary,38,32,adjective,38,38,1303191.0
mayan,49,30,adjective.name.noun,38.7.4,38,1278824.0
sporty,38,32,adjective,38,38,1194690.0
breezy,40,30,adjective.name,38.2,38,1128129.0
vanishing,56,51,adjective.verb,38.18,38,1117349.0
seductive,38,37,adjective,38,38,1093289.0
tangerine,38,24,adjective,38,38,1012609.0
fetching,66,64,adjective.verb,38.28,38,789835.0
vigilant,38,38,adjective,38,38,772884.0
pleasurable,38,32,adjective,38,38,749068.0
subconscious,134,103,noun.adjective,96.38,38,746396.0
wayward,38,33,adjective,38,38,658772.0
paralyzed,190,144,verb.adjective.name,145.38.6,38,629449.0
parisian,39,30,adjective.noun,38.1,38,609595.0
devout,38,31,adjective,38,38,583135.0
unwelcome,37,36,adjective,38,38,554108.0
flimsy,42,39,adjective.noun,38.4,38,413104.0
inexplicable,38,35,adjective,38,38,400673.0
infantile,38,35,adjective,38,38,395052.0
nefarious,38,31,adjective,38,38,352621.0
raggedy,66,42,adjective.noun.name,38.16.11,38,346658.0
inanimate,38,33,adjective,38,38,340730.0
argumentative,38,31,adjective,38,38,294352.0
bobsled,48,4,adjective.verb,38.10,38,291423.0
rougher,38,35,adjective,38,38,181233.0
spiteful,38,29,adjective,38,38,169302.0
leery,162,68,name.adjective,124.38,38,168700.0
handsomest,38,35,adjective,38,38,38584.0
accessory,147,125,noun.adjective,110.37,37,18694578.0
stainless,37,32,adjective,37,37,18133474.0
nationwide,68,65,adjective.adverb,37.31,37,15932624.0
floral,37,36,adjective,37,37,10641202.0
adjacent,68,59,adjective.preposition,37.31,37,9869232.0
veteran,191,158,noun.adjective,153.37,37,8886185.0
integral,37,37,adjective,37,37,8867484.0
maritime,37,23,adjective,37,37,7110338.0
bacterial,37,32,adjective,37,37,5616140.0
inexpensive,37,35,adjective,37,37,5190532.0
provisional,37,25,adjective,37,37,4154786.0
standardized,40,21,adjective.verb,37.3,37,4076813.0
compulsory,37,27,adjective,37,37,4035480.0
misleading,43,40,adjective.verb,37.6,37,3646794.0
cheating,948,603,verb.noun.adjective,854.56.37,37,3615902.0
deductible,46,38,adjective.noun,37.9,37,3440538.0
astronomical,37,33,adjective,37,37,3103128.0
lengthy,37,35,adjective,37,37,2703064.0
sticking,741,659,verb.adjective,703.37,37,2635839.0
inflatable,37,32,adjective,37,37,2633718.0
conflicting,37,37,adjective,37,37,2530282.0
filipino,59,30,adjective.noun,37.22,37,2320723.0
galore,37,31,adjective,37,37,2099185.0
ambiguous,37,35,adjective,37,37,1951514.0
winged,58,52,adjective.verb,37.21,37,1878347.0
depository,50,23,adjective.name,37.13,37,1590375.0
fanny,262,99,name.noun.adjective,123.102.37,37,1516099.0
cherished,65,52,adjective.verb,37.28,37,1452003.0
thoracic,40,32,adjective.noun,37.3,37,1315168.0
frosted,41,31,adjective.verb,37.4,37,1162704.0
admissible,37,28,adjective,37,37,1064978.0
improbable,37,35,adjective,37,37,939043.0
starry,37,24,adjective,37,37,932707.0
benevolent,37,32,adjective,37,37,849253.0
existential,37,27,adjective,37,37,753168.0
astonished,48,41,adjective.verb,37.11,37,746416.0
roving,38,30,adjective.verb,37.1,37,694802.0
